company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
ADNOC,ARE,2011-01-01,,,,,,,,,,,
ADNOC,ARE,2012-01-01,,,,,,,,,,,
ADNOC,ARE,2013-01-01,,,,,,,,,,,
ADNOC,ARE,2014-01-01,,,,,,,,,,,
ADNOC,ARE,2015-01-01,,,,,,,,,,,
ADNOC,ARE,2016-01-01,,,,,,,,,,,
ADNOC,ARE,2017-01-01,,,,,,,,,,,
BAPCO,BHR,2011-01-01,,,,,,,,,,,
BAPCO,BHR,2012-01-01,,,,,,,,,,,
BAPCO,BHR,2013-01-01,,,,,,,,,,,
BAPCO,BHR,2014-01-01,,,,,,,,,,,
BAPCO,BHR,2015-01-01,,,,,,,,,,,
BAPCO,BHR,2016-01-01,,,,,,,,,,,
BAPCO,BHR,2017-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2011-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2012-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2013-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2014-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2015-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2016-01-01,,,,,,,,,,,
Basra Oil Company,IRQ,2017-01-01,,,,,,,,,,,
CNOOC,CHN,2011-01-01,9153.811655,52146.56298,75555.50908999999,,23408.94611,111203.018,28609.00819,40164.90804,3959.011547,,3959.011547
CNOOC,CHN,2012-01-01,9137.192474,58422.93335,83418.6052,,24995.67186,129602.957,35335.74767,47147.22879,4783.493017,,4783.493017
CNOOC,CHN,2013-01-01,20368.77376,68069.47212,95238.22058,,27168.74846000001,168123.0839,36238.179,75142.05267,4742.922231000001,,4742.922231000001
CNOOC,CHN,2014-01-01,18047.8863,73704.70539,99553.4404,,25848.73502,181830.55,35616.39901,77377.40695,4236.881132,,4236.881132
CNOOC,CHN,2015-01-01,13617.04604,52358.82667,68419.07266,,16060.24599,186653.5711,35653.53735,79198.69885,611.1612882999998,,611.1612882999998
CNOOC,CHN,2016-01-01,8465.225025,54539.12396,65880.42149,,11341.29753,174243.1881,35594.52015,72653.71522,34.61521069,,34.61521069
CNOOC,CHN,2017-01-01,8759.74928,64402.39281000001,81480.38995,,17077.99713,167077.3664,35904.39318,67616.74216000001,2080.264756,,2080.264756
CNOOC Limited,CHN,2011-01-01,5698.86565,15905.38035,37289.39753,29293.528260000014,21384.017180000006,59470.1385,20416.89849,18789.557630000007,13085.41078,485.0295996,3452.7793130000005
CNOOC Limited,CHN,2012-01-01,8607.11903,17344.93459,39229.0785,30856.10429,21884.14391,72250.62628,27073.0338,23175.26721,13011.1174,164.1231583,4195.121
CNOOC Limited,CHN,2013-01-01,12866.22162,24358.76152,46137.53217,36548.39123,21778.77065,100306.2039,23653.60168,45168.48211,13522.24569,589.9197154,3936.5641200000014
CNOOC Limited,CHN,2014-01-01,15573.21175,23954.02925,44703.66179,35519.22209,20749.63254,107897.1451,22903.80231,46105.97194,12368.88757,1047.134209,3632.170486
CNOOC Limited,CHN,2015-01-01,10866.98083,20956.44117,27529.07456,23540.30777,6572.633392,106682.1692,22514.85428,44692.3334,5062.435206,424.8903754,500.3622108
CNOOC Limited,CHN,2016-01-01,7727.770536,18425.97765,22046.87919,18259.52364,3620.901539,95971.57465,18367.8843,38424.38888,3849.062027,360.9011967,889.7614156999997
CNOOC Limited,CHN,2017-01-01,7062.5432329999985,18651.95563,27577.56386,22472.77761,8925.608226999999,91321.40344,20541.94866,35101.73057,5023.877381,477.3068352,1728.1289010000007
CNPC,CHN,2011-01-01,,300145.13,374133.4333,367810.4503,73988.30324,468605.4511,137308.4129,205401.5234,49504.74573,,7923.285061
CNPC,CHN,2012-01-01,,356417.6322,430346.9263,424338.208,73929.2941,540120.4426,155524.1187,244808.0674,47954.37888,,7085.494575
CNPC,CHN,2013-01-01,,378004.7573,455500.8592,444454.0678,77496.10188,606755.1041,168139.8695,274749.7409,47926.6594,,7621.18168
CNPC,CHN,2014-01-01,,376484.5369,450320.0649,443616.8693,73835.52798,635848.9307,168010.4294,273947.7586,46768.79341000001,,8067.963168000001
CNPC,CHN,2015-01-01,,277875.1068,331631.6012,323228.5285,53756.4944,647788.894,175389.48,262675.548,37577.26626,,4211.488993
CNPC,CHN,2016-01-01,,244095.8931,289174.4648,281723.1012,45078.57166,612502.4937,188559.6795,244584.0353,33287.6376,,3602.602133
CNPC,CHN,2017-01-01,,255211.1577,349391.1867,346264.3786,94180.02899,606431.3705,200893.3705,250797.5224,36404.37578,,5293.452647
CUPET,CUB,2011-01-01,,,,,,,,,,,
CUPET,CUB,2012-01-01,,,,,,,,,,,
CUPET,CUB,2013-01-01,,,,,,,,,,,
CUPET,CUB,2014-01-01,,,,,,,,,,,
CUPET,CUB,2015-01-01,,,,,,,,,,,
CUPET,CUB,2016-01-01,,,,,,,,,,,
CUPET,CUB,2017-01-01,,,,,,,,,,,
Ecopetrol,COL,2011-01-01,3925.374745,13035.59141,30865.89022,30567.13139,17088.52525,46128.10634,8562.170906,16362.47507,10493.16965,4355.18051,1975.160998
Ecopetrol,COL,2012-01-01,2681.960022,16058.62855,33403.282060000005,33126.34059,16870.91544,56012.13699,9967.245113,19694.77907,15181.28725,4766.026202,5590.002699000002
Ecopetrol,COL,2013-01-01,2331.701741,18533.30262,34159.1905,33451.82461,15369.71239,61024.25268,11732.46904,22606.50401,18059.67305,4411.523828,3758.323066
Ecopetrol,COL,2014-01-01,7571.432956999999,20668.132530000006,34153.62487,32956.59536,11380.73418,55369.61452,10311.13718,30625.31592,15241.113919999998,4073.078825,2382.42889
Ecopetrol,COL,2015-01-01,5526.527520000002,13612.834030000002,19225.06987,18998.24601,5536.279949,44858.24021,7335.598833,28361.61968,6841.195513,1971.274569,962.2223356
Ecopetrol,COL,2016-01-01,3643.987762,11543.41862,16058.329769999998,15628.83051,4171.983753,39719.2486,7900.524138,24880.37745,3277.538052,1197.24143,0
Ecopetrol,COL,2017-01-01,3511.116385000001,12467.4504,19099.73795,18706.91268,6421.818869,40888.22301,7869.007004000001,24020.79415,3766.220722,1622.502131,126.1933866
EGPC,EGY,2011-01-01,,,,,,,,,,,
EGPC,EGY,2012-01-01,,,,,,,,,,,
EGPC,EGY,2013-01-01,,,,,,,,,,,
EGPC,EGY,2014-01-01,,,,,,,,,,,
EGPC,EGY,2015-01-01,,,,,,,,,,,
EGPC,EGY,2016-01-01,,,,,,,,,,,
EGPC,EGY,2017-01-01,,,,,,,,,,,
ENH,MOZ,2011-01-01,9.466794047,18.20962581,61.47394364,61.47394364,61.59577713,381.471711,93.67369333,288.1928608,14.56576078,0.962810176,11.85516038
ENH,MOZ,2012-01-01,13.52151675,25.66826245,66.61160377,66.61160377,77.25995154,404.6749277,113.6172222,276.3524454,14.84507681,1.225395658,12.29637221
